Date/Time (LST),Longitude (x),Latitude (y),Temp (°C),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Weather
2014-09-05 22:00:00,-79.4,43.63,19.8,5.0,15.0,12.9,"Thunderstorms,Moderate Rain"
2014-09-05 23:00:00,-79.4,43.63,19.8,6.0,15.0,12.9,Rain
2014-09-06 00:00:00,-79.4,43.63,20.1,3.0,21.0,12.9,Rain
2014-09-06 01:00:00,-79.4,43.63,20.1,2.2,11.0,16.1,Rain
2014-09-06 03:00:00,-79.4,43.63,20.0,1.0,5.0,16.1,Rain
2014-09-06 04:00:00,-79.4,43.63,20.4,0.2,5.0,14.5,
2014-09-06 05:00:00,-79.4,43.63,17.1,0.5,22.0,16.1,Rain
2014-09-06 07:00:00,-79.4,43.63,17.1,0.5,13.0,16.1,
2014-09-10 17:00:00,-79.4,43.63,21.0,1.8,17.0,12.9,Rain
2014-09-10 18:00:00,-79.4,43.63,21.6,0.2,22.0,14.5,Rain
2014-09-10 19:00:00,-79.4,43.63,21.4,3.0,22.0,11.3,Rain
2014-09-10 20:00:00,-79.4,43.63,22.3,2.5,34.0,16.1,
2014-09-10 21:00:00,-79.4,43.63,21.8,0.2,34.0,16.1,Rain
2014-09-10 22:00:00,-79.4,43.63,21.3,1.2,41.0,16.1,Rain
2014-09-10 23:00:00,-79.4,43.63,20.7,1.2,30.0,16.1,
2014-09-11 00:00:00,-79.4,43.63,20.7,1.0,34.0,8.1,"Rain,Fog"
2014-09-11 01:00:00,-79.4,43.63,20.7,1.2,30.0,16.1,
2014-09-11 04:00:00,-79.4,43.63,21.3,2.3,22.0,16.1,Rain
2014-09-13 08:00:00,-79.4,43.63,11.4,0.5,15.0,16.1,
2014-09-13 09:00:00,-79.4,43.63,10.3,0.5,13.0,16.1,Rain
2014-09-13 11:00:00,-79.4,43.63,11.7,0.2,9.0,16.1,
2014-09-15 16:00:00,-79.4,43.63,14.7,1.0,18.0,11.3,Rain
2014-09-15 17:00:00,-79.4,43.63,14.5,4.5,9.0,12.9,Rain
2014-09-15 18:00:00,-79.4,43.63,14.3,1.0,22.0,16.1,Rain
2014-09-15 19:00:00,-79.4,43.63,14.2,0.5,13.0,16.1,Rain
2014-09-16 00:00:00,-79.4,43.63,13.6,0.2,8.0,16.1,Rain
2014-09-16 01:00:00,-79.4,43.63,13.4,0.2,9.0,16.1,
2014-09-20 22:00:00,-79.4,43.63,18.8,0.2,15.0,16.1,
2014-09-21 07:00:00,-79.4,43.63,18.0,1.2,8.0,16.1,
2014-09-21 08:00:00,-79.4,43.63,18.4,2.2,22.0,11.3,Rain
2014-09-21 09:00:00,-79.4,43.63,18.4,2.5,30.0,11.3,Rain
2014-09-21 10:00:00,-79.4,43.63,20.1,0.2,26.0,16.1,
2014-09-21 20:00:00,-79.4,43.63,13.9,2.8,28.0,12.9,Rain
2014-09-21 21:00:00,-79.4,43.63,13.2,0.8,28.0,16.1,
2014-10-03 14:00:00,-79.4,43.63,19.1,0.8,28.0,9.7,"Rain,Fog"
2014-10-03 15:00:00,-79.4,43.63,18.3,2.2,21.0,9.7,"Rain,Fog"
2014-10-03 16:00:00,-79.4,43.63,18.2,1.2,15.0,11.3,Rain
2014-10-03 17:00:00,-79.4,43.63,18.4,0.2,22.0,16.1,
2014-10-03 21:00:00,-79.4,43.63,17.3,0.2,11.0,16.1,Rain
2014-10-03 22:00:00,-79.4,43.63,16.7,0.2,13.0,16.1,Rain
2014-10-03 23:00:00,-79.4,43.63,16.1,0.5,9.0,16.1,
